state,census_name,seats
DE,Constitution,1
DE,1st,1
DE,2nd,1
DE,3rd,2
DE,4th,1
DE,5th,1
DE,6th,1
DE,7th,1
DE,8th,1
DE,9th,1
DE,10th,1
DE,11th,1
DE,12th,1
DE,13th,1
DE,15th,1
DE,16th,1
DE,17th,1
DE,18th,1
DE,19th,1
DE,20th,1
DE,21st,1
DE,22nd,1
DE,23rd,1
PA,Constitution,8
PA,1st,13
PA,2nd,18
PA,3rd,23
PA,4th,26
PA,5th,28
PA,6th,24
PA,7th,25
PA,8th,24
PA,9th,27
PA,10th,28
PA,11th,30
PA,12th,32
PA,13th,36
PA,15th,34
PA,16th,33
PA,17th,30
PA,18th,27
PA,19th,25
PA,20th,23
PA,21st,21
PA,22nd,19
PA,23rd,18
NJ,Constitution,4
NJ,1st,5
NJ,2nd,6
NJ,3rd,6
NJ,4th,6
NJ,5th,6
NJ,6th,5
NJ,7th,5
NJ,8th,5
NJ,9th,7
NJ,10th,7
NJ,11th,8
NJ,12th,10
NJ,13th,12
NJ,15th,14
NJ,16th,14
NJ,17th,14
NJ,18th,15
NJ,19th,15
NJ,20th,14
NJ,21st,13
NJ,22nd,13
NJ,23rd,12
GA,Constitution,3
GA,1st,2
GA,2nd,4
GA,3rd,6
GA,4th,7
GA,5th,9
GA,6th,8
GA,7th,8
GA,8th,7
GA,9th,9
GA,10th,10
GA,11th,11
GA,12th,11
GA,13th,12
GA,15th,10
GA,16th,10
GA,17th,10
GA,18th,10
GA,19th,10
GA,20th,10
GA,21st,11
GA,22nd,13
GA,23rd,14
CT,Constitution,5
CT,1st,7
CT,2nd,7
CT,3rd,7
CT,4th,6
CT,5th,6
CT,6th,4
CT,7th,4
CT,8th,4
CT,9th,4
CT,10th,4
CT,11th,4
CT,12th,5
CT,13th,5
CT,15th,6
CT,16th,6
CT,17th,6
CT,18th,6
CT,19th,6
CT,20th,6
CT,21st,6
CT,22nd,5
CT,23rd,5
MA,Constitution,8
MA,1st,14
MA,2nd,17
MA,3rd,20
MA,4th,13
MA,5th,12
MA,6th,10
MA,7th,11
MA,8th,10
MA,9th,11
MA,10th,12
MA,11th,13
MA,12th,14
MA,13th,16
MA,15th,15
MA,16th,14
MA,17th,14
MA,18th,12
MA,19th,12
MA,20th,11
MA,21st,10
MA,22nd,10
MA,23rd,9
MD,Constitution,6
MD,1st,8
MD,2nd,9
MD,3rd,9
MD,4th,9
MD,5th,8
MD,6th,6
MD,7th,6
MD,8th,5
MD,9th,6
MD,10th,6
MD,11th,6
MD,12th,6
MD,13th,6
MD,15th,6
MD,16th,6
MD,17th,7
MD,18th,8
MD,19th,8
MD,20th,8
MD,21st,8
MD,22nd,8
MD,23rd,8
SC,Constitution,5
SC,1st,6
SC,2nd,8
SC,3rd,9
SC,4th,9
SC,5th,9
SC,6th,7
SC,7th,6
SC,8th,4
SC,9th,5
SC,10th,7
SC,11th,7
SC,12th,7
SC,13th,7
SC,15th,6
SC,16th,6
SC,17th,6
SC,18th,6
SC,19th,6
SC,20th,6
SC,21st,6
SC,22nd,6
SC,23rd,7
NH,Constitution,3
NH,1st,4
NH,2nd,5
NH,3rd,6
NH,4th,6
NH,5th,5
NH,6th,4
NH,7th,3
NH,8th,3
NH,9th,3
NH,10th,2
NH,11th,2
NH,12th,2
NH,13th,2
NH,15th,2
NH,16th,2
NH,17th,2
NH,18th,2
NH,19th,2
NH,20th,2
NH,21st,2
NH,22nd,2
NH,23rd,2
VA,Constitution,10
VA,1st,19
VA,2nd,22
VA,3rd,23
VA,4th,22
VA,5th,21
VA,6th,15
VA,7th,13
VA,8th,11
VA,9th,9
VA,10th,10
VA,11th,10
VA,12th,10
VA,13th,10
VA,15th,9
VA,16th,9
VA,17th,10
VA,18th,10
VA,19th,10
VA,20th,10
VA,21st,11
VA,22nd,11
VA,23rd,11
NY,Constitution,6
NY,1st,10
NY,2nd,17
NY,3rd,27
NY,4th,34
NY,5th,40
NY,6th,34
NY,7th,33
NY,8th,31
NY,9th,33
NY,10th,34
NY,11th,34
NY,12th,37
NY,13th,43
NY,15th,45
NY,16th,45
NY,17th,43
NY,18th,41
NY,19th,39
NY,20th,34
NY,21st,31
NY,22nd,29
NY,23rd,27
NC,Constitution,5
NC,1st,10
NC,2nd,12
NC,3rd,13
NC,4th,13
NC,5th,13
NC,6th,9
NC,7th,8
NC,8th,7
NC,9th,8
NC,10th,9
NC,11th,9
NC,12th,10
NC,13th,10
NC,15th,11
NC,16th,12
NC,17th,12
NC,18th,11
NC,19th,11
NC,20th,11
NC,21st,12
NC,22nd,13
NC,23rd,13
RI,Constitution,1
RI,1st,2
RI,2nd,2
RI,3rd,2
RI,4th,2
RI,5th,2
RI,6th,2
RI,7th,2
